to learn|to study,lernen
to live| to stay,wohnen
to come,kommen
to play,spielen
to do| to make,machen
to study,studieren
to travel,reisen
to dance,tanzen
to be called,heißen
to work,arbeiten
to bath,baden
to answer|to reply,antworten
to wait,warten
to hear|to listen,hören
to phone| to make phone call,telefonieren
to ask/question/query,fragen
to say/tell,sagen
to go/walk,gehen
to talk,reden
to buy,kaufen
to sell,verkaufen
to visit,besuchen
to be,sein
to have,haben
to become| to get/turn(indicating a change in state or condition),werden
to speak,sprechen
to meet,treffen
to take,nehmen
to give,geben
to eat,essen
to help,helfen
to read,lesen
to see,sehen
to recommend,empfehlen
to run/walk,laufen
to drive/go,fahren
to sleep,schlafen
to wash,waschen
to know(a fact or piece of information),wissen
to know(a person or place),kennen
can/able to,können
should/suppose to be,sollen
have to/need to,müssen
want to,wollen
allowed to/may,dürfen
like to,mögen
would like to/would love to,möchten
to stay/remain,bleiben
to clean/wipe,putzen
to explain,erklären
to pay,bezahlen
to bring so/sth,bringen
to rise/increase,steigen
to trap/catch/capture so or sth,fangen
to miss/lack | to be absent/missing ,fehlen
to stand/rise,stehen
to look for so/sth | to search sth,suchen
to wear/carry sth,tragen
to hope/expect,hoffen
to gift/present someone sth,schenken
to think(opinion about so or sth) | to find sth | to locate so/sth,finden
to fetch/get sth,holen
to taste/try out/sample sth (used to figure out if you like sth or not),probieren
to need/require sth,brauchen
to order/reserve/book sth,bestellen
to send/forward/ship sth,schicken
"to put/place/lay horizontal (eg phone, book etc)",legen
to repeat/revise,wiederholen
"to believe/think(beliefs, assumptions, or faith)",glauben
to happen,passieren
to understand,verstehen
to taste(to express that something tastes good or bad) - (Dativ verb: Dav + verb+ Nom),schmecken
to belong to so/sth | to be owned by so (Dativ verb: Dav + verb+ Nom),gehören
to fit/suit | to match sth(Dativ verb: Dav + verb+ Nom),passen
to appeal/like good/bad to so| to please me(Dativ verb: Dav + verb+ Nom),gefallen
to lie| to be located,liegen
to get/receive,bekommen
to leave/depart(T-Verb),abfahren
to collect/fetch/pickup so or sth from a place(T-Verb),abholen
to start(T-Verb)/begin,anfangen
to arrive(T-Verb),ankommen
to telephone so(T-Verb),anrufen
to stop/end/finish [for stopping/quitting an action](T-Verb),aufhören
to open sth(T-Verb),aufmachen
to standup/to getup(T-Verb),aufstehen
to appear|to look good/bad/nice(T-Verb),aussehen
to shop(T-Verb),einkaufen
to invite(T-Verb),einladen
to watch TV(T-Verb),fernsehen
to bring so/sth along(T-Verb),mitbringen
to accompany/to come along(with so)(T-Verb),mitkommen
to read aloud/to read something to someone(T-Verb),vorlesen
to listen to so/sth(T-Verb),zuhören
to close sth(T-Verb),zumachen
to return/ to come back(T-Verb),zurückkommen
to get on/in sth|to board(T-Verb),einsteigen
to step/get out(of sth)/ to back out(T-Verb),aussteigen
to change(for somewhere)(T-Verb),umsteigen
to take so/sth along| to pick so/sth(T-Verb),mitnehmen
to switch/turn/start(start of sports|car|machine or to start a project) sth on(T-Verb),einschalten
